rank,alpha,trainable_layers,lr,weight_decay,num_epochs,pre_train_acc,pre_val_acc,pre_test_acc,final_train_acc,final_val_acc,final_test_acc,train_loss_last,val_loss_last,examples_seen,minutes
4,4,lora,5e-05,0.1,20,0.453125,0.53125,0.609375,1.0,0.9731543624161074,0.9533333333333334,0.0014711683324276,0.1790742494953232,20800,3.521325492858886
8,4,lora,5e-05,0.1,20,0.453125,0.53125,0.609375,1.0,0.953020134228188,0.9533333333333334,2.12919196474104e-05,0.2727795317887285,20800,3.3892415245374043
16,4,lora,5e-05,0.1,20,0.453125,0.53125,0.609375,1.0,0.9731543624161074,0.9666666666666668,3.782378066944148e-05,0.1408333134769464,20800,3.393565634886424
32,4,lora,5e-05,0.1,20,0.453125,0.53125,0.609375,1.0,0.9731543624161074,0.96,9.33959432586562e-06,0.2135916940479116,20800,3.368599224090576
4,8,lora,5e-05,0.1,20,0.453125,0.53125,0.609375,1.0,0.9664429530201344,0.95,2.8982450485273147e-05,0.2113334769975201,20800,3.363683108488719
8,8,lora,5e-05,0.1,20,0.453125,0.53125,0.609375,1.0,0.9664429530201344,0.97,1.95685644436594e-05,0.1999975365915756,20800,3.4824103832244875
16,8,lora,5e-05,0.1,20,0.453125,0.53125,0.609375,1.0,0.9798657718120806,0.97,1.5348532741654708e-05,0.0930824554859734,20800,3.4344970107078554
32,8,lora,5e-05,0.1,20,0.453125,0.53125,0.609375,1.0,0.9798657718120806,0.98,9.883591087600508e-06,0.1622889810252589,20800,3.4269051750501
4,16,lora,5e-05,0.1,20,0.453125,0.53125,0.609375,1.0,0.9731543624161074,0.9733333333333334,4.031732018461298e-06,0.1888704588136608,20800,3.370514730612437
8,16,lora,5e-05,0.1,20,0.453125,0.53125,0.609375,1.0,0.9865771812080536,0.96,1.1328299979140866e-05,0.1296150168874838,20800,3.484909995396932
16,16,lora,5e-05,0.1,20,0.453125,0.53125,0.609375,1.0,0.9798657718120806,0.95,3.526347640217864e-05,0.1868661438077556,20800,3.362508726119996
32,16,lora,5e-05,0.1,20,0.453125,0.53125,0.609375,1.0,0.9865771812080536,0.9733333333333334,2.0871252972938235e-05,0.1302207562253227,20800,3.493814214070638
4,32,lora,5e-05,0.1,20,0.453125,0.53125,0.609375,1.0,0.9865771812080536,0.9533333333333334,4.241635356720508e-05,0.1082600627122175,20800,3.34533859093984
8,32,lora,5e-05,0.1,20,0.453125,0.53125,0.609375,0.9932692307692308,0.9731543624161074,0.95,0.0285326587699819,0.0544271286650511,20800,3.68790465593338
16,32,lora,5e-05,0.1,20,0.453125,0.53125,0.609375,0.9980769230769232,0.9798657718120806,0.9433333333333334,0.0061531020316488,0.1695181633603122,20800,3.454322640101115
32,32,lora,5e-05,0.1,20,0.453125,0.53125,0.609375,0.9990384615384615,0.9664429530201343,0.9433333333333334,0.002605155287310481,0.1492961513347262,20800,3.40745130777359
